
Gurobi 12.0.0 (win64) logging started Mon Dec 22 16:59:16 2025

Set parameter LogFile to value "Storage/Logs/log_____________2025_12_22_16_59_16.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 10.0 (19045.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 5695 rows, 1376 columns and 15614 nonzeros
Model fingerprint: 0x534a1bc7
Variable types: 42 continuous, 1334 integer (746 binary)
Coefficient statistics:
  Matrix range     [2e-01, 1e+06]
  Objective range  [6e+01, 2e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+06]
Found heuristic solution: objective 1.064000e+07
Presolve removed 3822 rows and 235 columns
Presolve time: 0.02s
Presolved: 1873 rows, 1141 columns, 9779 nonzeros
Variable types: 42 continuous, 1099 integer (679 binary)

Root relaxation: objective 4.785600e+03, 1641 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 4785.60000    0   31 1.0640e+07 4785.60000   100%     -    0s
H    0     0                    7563980.0000 4785.60000   100%     -    0s
H    0     0                    6525334.0000 4785.60000   100%     -    0s
H    0     0                    6185334.0000 4785.60000   100%     -    0s
H    0     0                    6045334.0000 4785.60000   100%     -    0s
H    0     0                    5005334.0000 4785.60000   100%     -    0s
H    0     0                    4605360.0000 4785.60000   100%     -    0s
H    0     0                    4465360.0000 4785.60000   100%     -    0s
H    0     0                    4325360.0000 4785.60000   100%     -    0s
H    0     0                    4285536.0000 4785.60000   100%     -    0s
H    0     0                    3805536.0000 4785.60000   100%     -    0s
     0     0 4785.60000    0   97 3805536.00 4785.60000   100%     -    0s
     0     0 4785.60000    0   51 3805536.00 4785.60000   100%     -    0s
H    0     0                    3665536.0000 4785.60000   100%     -    0s
H    0     0                    3465703.0000 4785.60000   100%     -    0s
H    0     0                    3325703.0000 4785.60000   100%     -    0s
H    0     0                    3185703.0000 4785.60000   100%     -    0s
     0     0 4825.60000    0   61 3185703.00 4825.60000   100%     -    0s
     0     0 4825.60000    0   97 3185703.00 4825.60000   100%     -    0s
H    0     0                    3045703.0000 4842.46778   100%     -    0s
H    0     0                    2905703.0000 4842.46778   100%     -    0s
H    0     0                    2845703.0000 4842.46778   100%     -    0s
H    0     0                    2705703.0000 4842.46778   100%     -    0s
H    0     0                    2227660.0000 4842.46778   100%     -    0s
H    0     0                    2167660.0000 4842.46778   100%     -    0s
H    0     0                    2027660.0000 4842.46778   100%     -    0s
     0     0 4842.46778    0   92 2027660.00 4842.46778   100%     -    0s
     0     0 4866.94652    0  104 2027660.00 4866.94652   100%     -    0s
     0     0 4878.57369    0  113 2027660.00 4878.57369   100%     -    0s
H    0     0                    1887660.0000 4878.76559   100%     -    0s
     0     0 4878.76559    0  119 1887660.00 4878.76559   100%     -    0s
     0     0 4878.87006    0  118 1887660.00 4878.87006   100%     -    0s
H    0     0                    1391409.0000 4949.19254   100%     -    0s
H    0     0                    1251409.0000 4949.19254   100%     -    0s
H    0     0                    1111409.0000 4949.19254   100%     -    0s
     0     0 4949.19254    0  170 1111409.00 4949.19254   100%     -    0s
H    0     0                    911409.00000 4949.19254  99.5%     -    0s
H    0     0                    492126.00058 4977.34296  99.0%     -    0s
H    0     0                    492126.00000 4977.34296  99.0%     -    0s
     0     0 4977.34296    0  182 492126.000 4977.34296  99.0%     -    0s
     0     0 4987.49124    0  220 492126.000 4987.49124  99.0%     -    0s
H    0     0                    355706.00000 5003.70027  98.6%     -    0s
H    0     0                    355705.99991 5003.70027  98.6%     -    0s
H    0     0                    352126.00000 5003.70027  98.6%     -    0s
     0     0 5003.70027    0  229 352126.000 5003.70027  98.6%     -    0s
H    0     0                    351945.00000 5024.91068  98.6%     -    0s
     0     0 5024.91068    0  187 351945.000 5024.91068  98.6%     -    0s
     0     0 5039.02279    0  226 351945.000 5039.02279  98.6%     -    0s
     0     0 5046.25635    0  235 351945.000 5046.25635  98.6%     -    0s
     0     0 5048.52037    0  239 351945.000 5048.52037  98.6%     -    0s
H    0     0                    152044.00000 5051.92530  96.7%     -    0s
H    0     0                    151945.00000 5051.92530  96.7%     -    0s
H    0     0                    15499.000000 5051.92530  67.4%     -    0s
     0     0 5051.92530    0  254 15499.0000 5051.92530  67.4%     -    0s
     0     0 5054.01991    0  236 15499.0000 5054.01991  67.4%     -    0s
H    0     0                    11945.000000 5054.35704  57.7%     -    0s
     0     0 5054.35704    0  240 11945.0000 5054.35704  57.7%     -    0s
     0     0 5054.50559    0  252 11945.0000 5054.50559  57.7%     -    0s
     0     0 5054.50605    0  256 11945.0000 5054.50605  57.7%     -    0s
H    0     0                    11798.000000 5054.50605  57.2%     -    1s
H    0     0                    11631.000000 5054.50605  56.5%     -    1s
     0     0 5117.02717    0  267 11631.0000 5117.02717  56.0%     -    1s
