
Gurobi 12.0.0 (win64) logging started Thu Feb 19 21:28:37 2026

Set parameter LogFile to value "Storage_orig/Logs/log______Sens_handling_time_0.75_2026_02_19_21_28_37.log"
Set parameter MIPGap to value 0.005
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.005

Optimize a model with 4176 rows, 840 columns and 11022 nonzeros
Model fingerprint: 0x71c59952
Variable types: 18 continuous, 822 integer (570 binary)
Coefficient statistics:
  Matrix range     [8e-01, 1e+03]
  Objective range  [1e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+03]
Found heuristic solution: objective 18840.000000
Presolve removed 2934 rows and 192 columns
Presolve time: 0.02s
Presolved: 1242 rows, 648 columns, 6477 nonzeros
Variable types: 18 continuous, 630 integer (450 binary)

Root relaxation: objective 5.417700e+03, 537 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 5417.70000    0   10 18840.0000 5417.70000  71.2%     -    0s
H    0     0                    12256.000000 5417.70000  55.8%     -    0s
H    0     0                    12056.000000 5417.70000  55.1%     -    0s
H    0     0                    11540.000000 5418.26667  53.0%     -    0s
     0     0 5418.26667    0   62 11540.0000 5418.26667  53.0%     -    0s
     0     0 5420.18841    0   36 11540.0000 5420.18841  53.0%     -    0s
     0     0 5535.83821    0   65 11540.0000 5535.83821  52.0%     -    0s
     0     0 5535.83821    0   69 11540.0000 5535.83821  52.0%     -    0s
H    0     0                    11421.000000 5535.83821  51.5%     -    0s
     0     0 5565.98446    0  111 11421.0000 5565.98446  51.3%     -    0s
H    0     0                    11404.000000 5576.76824  51.1%     -    0s
H    0     0                    11204.000000 5576.76824  50.2%     -    0s
H    0     0                    10804.000000 5576.76824  48.4%     -    0s
     0     0 5576.76824    0  129 10804.0000 5576.76824  48.4%     -    0s
     0     0 5580.90476    0  133 10804.0000 5580.90476  48.3%     -    0s
     0     0 5581.15044    0  142 10804.0000 5581.15044  48.3%     -    0s
     0     0 5582.57906    0  136 10804.0000 5582.57906  48.3%     -    0s
     0     0 5582.57906    0  150 10804.0000 5582.57906  48.3%     -    0s
H    0     0                    10521.000000 5582.57906  46.9%     -    0s
     0     0 5601.34797    0  175 10521.0000 5601.34797  46.8%     -    0s
     0     0 5618.82031    0   93 10521.0000 5618.82031  46.6%     -    0s
     0     0 5623.26537    0  128 10521.0000 5623.26537  46.6%     -    0s
     0     0 5626.08782    0  137 10521.0000 5626.08782  46.5%     -    0s
H    0     0                    10469.000000 5626.35233  46.3%     -    0s
H    0     0                    10409.000000 5626.35233  45.9%     -    0s
H    0     0                    9569.0000000 5626.35233  41.2%     -    0s
H    0     0                    9489.0000000 5626.35233  40.7%     -    0s
H    0     0                    9429.0000000 5626.35233  40.3%     -    0s
     0     0 5626.35233    0  171 9429.00000 5626.35233  40.3%     -    0s
     0     0 5629.98201    0  134 9429.00000 5629.98201  40.3%     -    0s
H    0     0                    9105.0000000 5635.00000  38.1%     -    0s
H    0     0                    8825.0000000 5635.00000  36.1%     -    0s
     0     0 5635.00000    0   25 8825.00000 5635.00000  36.1%     -    0s
     0     0 5635.00329    0  176 8825.00000 5635.00329  36.1%     -    0s
     0     0 5635.02097    0  196 8825.00000 5635.02097  36.1%     -    0s
     0     0 5635.06786    0  169 8825.00000 5635.06786  36.1%     -    0s
     0     0 5635.10365    0  178 8825.00000 5635.10365  36.1%     -    0s
H    0     0                    8625.0000000 5635.15313  34.7%     -    0s
H    0     0                    7922.0000000 5635.15313  28.9%     -    0s
H    0     0                    7562.0000000 5635.15313  25.5%     -    0s
H    0     0                    7162.0000000 5635.15313  21.3%     -    0s
     0     0 5635.15313    0  180 7162.00000 5635.15313  21.3%     -    0s
     0     0 5635.15313    0  183 7162.00000 5635.15313  21.3%     -    0s
     0     0 5635.15313    0  130 7162.00000 5635.15313  21.3%     -    0s
     0     2 5635.15313    0  120 7162.00000 5635.15313  21.3%     -    1s
H   32    40                    7082.0000000 5635.27557  20.4%   153    1s
H  119   127                    6786.0000000 5635.27557  17.0%   123    1s
H  154   164                    6726.0000000 5635.27557  16.2%   114    1s
H  155   164                    6646.0000000 5635.27557  15.2%   113    1s
