
Gurobi 12.0.0 (win64) logging started Sun Jan 25 21:10:54 2026

Set parameter LogFile to value "Storage_orig/Logs/log_____________2026_01_25_21_10_54.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11.0 (26100.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 16080 rows, 2280 columns and 42768 nonzeros
Model fingerprint: 0xe5275702
Variable types: 40 continuous, 2240 integer (1360 binary)
Coefficient statistics:
  Matrix range     [2e-01, 2e+02]
  Objective range  [1e+01, 4e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 30940.000000
Presolve removed 12936 rows and 356 columns
Presolve time: 0.04s
Presolved: 3144 rows, 1924 columns, 21256 nonzeros
Variable types: 40 continuous, 1884 integer (1160 binary)

Root relaxation: objective 6.876980e+03, 2422 iterations, 0.07 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 6876.98027    0   58 30940.0000 6876.98027  77.8%     -    0s
     0     0 7025.77146    0  134 30940.0000 7025.77146  77.3%     -    0s
H    0     0                    30802.000000 7025.77146  77.2%     -    0s
H    0     0                    30289.000000 7025.77146  76.8%     -    0s
H    0     0                    30069.000000 7025.77146  76.6%     -    0s
H    0     0                    29869.000000 7025.77146  76.5%     -    0s
H    0     0                    29529.000000 7025.77146  76.2%     -    0s
H    0     0                    29409.000000 7195.16628  75.5%     -    0s
     0     0 7195.16628    0   85 29409.0000 7195.16628  75.5%     -    0s
     0     0 7196.28803    0  112 29409.0000 7196.28803  75.5%     -    0s
     0     0 7196.29887    0  117 29409.0000 7196.29887  75.5%     -    0s
     0     0 7299.22189    0  134 29409.0000 7299.22189  75.2%     -    0s
H    0     0                    28766.000000 7317.75740  74.6%     -    1s
H    0     0                    28689.000000 7317.75740  74.5%     -    1s
H    0     0                    28489.000000 7317.75740  74.3%     -    1s
H    0     0                    28089.000000 7317.75740  73.9%     -    1s
H    0     0                    27873.000000 7317.75740  73.7%     -    1s
     0     0 7317.75740    0  149 27873.0000 7317.75740  73.7%     -    1s
H    0     0                    27813.000000 7318.71141  73.7%     -    1s
     0     0 7318.71141    0  171 27813.0000 7318.71141  73.7%     -    1s
     0     0 7320.03492    0  177 27813.0000 7320.03492  73.7%     -    1s
     0     0 7321.61201    0  191 27813.0000 7321.61201  73.7%     -    1s
     0     0 7322.43622    0  210 27813.0000 7322.43622  73.7%     -    1s
     0     0 7322.50770    0  218 27813.0000 7322.50770  73.7%     -    1s
     0     0 7322.53218    0  192 27813.0000 7322.53218  73.7%     -    1s
H    0     0                    26153.000000 7322.53218  72.0%     -    2s
H    0     0                    24535.000000 7405.19700  69.8%     -    2s
H    0     0                    23995.000000 7405.19700  69.1%     -    2s
H    0     0                    23855.000000 7405.19700  69.0%     -    2s
H    0     0                    23775.000000 7405.19700  68.9%     -    2s
H    0     0                    23715.000000 7405.19700  68.8%     -    2s
H    0     0                    23435.000000 7405.19700  68.4%     -    2s
     0     0 7405.19700    0  260 23435.0000 7405.19700  68.4%     -    2s
H    0     0                    23360.000000 7419.64139  68.2%     -    2s
H    0     0                    23020.000000 7419.64139  67.8%     -    2s
H    0     0                    22916.000000 7419.64139  67.6%     -    2s
H    0     0                    22776.000000 7419.64139  67.4%     -    2s
     0     0 7419.64139    0  234 22776.0000 7419.64139  67.4%     -    2s
     0     0 7421.89355    0  278 22776.0000 7421.89355  67.4%     -    2s
     0     0 7423.85066    0  338 22776.0000 7423.85066  67.4%     -    3s
     0     0 7424.23912    0  366 22776.0000 7424.23912  67.4%     -    3s
     0     0 7428.73244    0  284 22776.0000 7428.73244  67.4%     -    3s
     0     0 7430.89577    0  272 22776.0000 7430.89577  67.4%     -    3s
     0     0 7434.42250    0  358 22776.0000 7434.42250  67.4%     -    3s
     0     0 7434.98668    0  374 22776.0000 7434.98668  67.4%     -    3s
     0     0 7435.65451    0  376 22776.0000 7435.65451  67.4%     -    3s
H    0     0                    21335.000000 7435.73353  65.1%     -    3s
H    0     0                    20995.000000 7435.73353  64.6%     -    3s
H    0     0                    20715.000000 7435.73353  64.1%     -    3s
     0     0 7435.73353    0  366 20715.0000 7435.73353  64.1%     -    3s
     0     0 7436.67102    0  350 20715.0000 7436.67102  64.1%     -    3s
     0     0 7437.54592    0  367 20715.0000 7437.54592  64.1%     -    3s
     0     0 7437.87290    0  382 20715.0000 7437.87290  64.1%     -    3s
     0     0 7437.88762    0  395 20715.0000 7437.88762  64.1%     -    3s
H    0     0                    20118.000000 7437.88762  63.0%     -    4s
H    0     0                    19698.000000 7437.88762  62.2%     -    4s
H    0     0                    19459.000000 7437.88762  61.8%     -    4s
H    0     0                    19319.000000 7437.88762  61.5%     -    4s
H    0     0                    19179.000000 7437.88762  61.2%     -    4s
