
Gurobi 12.0.0 (win64) logging started Sun Jan 25 21:16:54 2026

Set parameter LogFile to value "Storage_orig/Logs/log_____________2026_01_25_21_16_54.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11.0 (26100.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 16100 rows, 2280 columns and 42808 nonzeros
Model fingerprint: 0x4ca9d1db
Variable types: 40 continuous, 2240 integer (1360 binary)
Coefficient statistics:
  Matrix range     [2e-01, 2e+02]
  Objective range  [1e+01, 4e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 30880.000000
Presolve removed 12968 rows and 356 columns
Presolve time: 0.06s
Presolved: 3132 rows, 1924 columns, 21172 nonzeros
Variable types: 40 continuous, 1884 integer (1160 binary)

Root relaxation: objective 6.492443e+03, 2245 iterations, 0.10 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 6492.44333    0   35 30880.0000 6492.44333  79.0%     -    0s
H    0     0                    30826.000000 6492.44333  78.9%     -    0s
H    0     0                    30686.000000 6492.44333  78.8%     -    0s
H    0     0                    30286.000000 6492.44333  78.6%     -    0s
     0     0 6670.44087    0  104 30286.0000 6670.44087  78.0%     -    0s
H    0     0                    29187.000000 6670.44087  77.1%     -    0s
H    0     0                    28613.000000 6670.44087  76.7%     -    0s
H    0     0                    28413.000000 6670.44087  76.5%     -    0s
H    0     0                    27713.000000 6670.44087  75.9%     -    0s
H    0     0                    27227.000000 6721.49170  75.3%     -    0s
H    0     0                    26653.000000 6721.49170  74.8%     -    0s
H    0     0                    26453.000000 6721.49170  74.6%     -    0s
H    0     0                    25613.000000 6721.49170  73.8%     -    0s
     0     0 6721.49170    0  101 25613.0000 6721.49170  73.8%     -    0s
     0     0 6736.63272    0  136 25613.0000 6736.63272  73.7%     -    0s
     0     0 6736.63272    0  140 25613.0000 6736.63272  73.7%     -    0s
     0     0 6950.69937    0  131 25613.0000 6950.69937  72.9%     -    0s
     0     0 6962.65032    0  157 25613.0000 6962.65032  72.8%     -    0s
     0     0 6968.47789    0  181 25613.0000 6968.47789  72.8%     -    0s
     0     0 6969.36882    0  198 25613.0000 6969.36882  72.8%     -    0s
     0     0 6971.46909    0  193 25613.0000 6971.46909  72.8%     -    0s
     0     0 6971.47467    0  196 25613.0000 6971.47467  72.8%     -    0s
H    0     0                    25368.000000 7009.63430  72.4%     -    1s
H    0     0                    25168.000000 7009.63430  72.1%     -    1s
H    0     0                    25028.000000 7009.63430  72.0%     -    1s
H    0     0                    24348.000000 7009.63430  71.2%     -    1s
H    0     0                    24148.000000 7009.63430  71.0%     -    1s
     0     0 7009.63430    0  249 24148.0000 7009.63430  71.0%     -    1s
H    0     0                    23735.000000 7043.40385  70.3%     -    1s
     0     0 7043.40385    0  290 23735.0000 7043.40385  70.3%     -    1s
     0     0 7059.51581    0  260 23735.0000 7059.51581  70.3%     -    1s
     0     0 7080.47813    0  316 23735.0000 7080.47813  70.2%     -    1s
     0     0 7084.74435    0  331 23735.0000 7084.74435  70.2%     -    1s
H    0     0                    23178.000000 7111.76014  69.3%     -    1s
H    0     0                    22618.000000 7111.76014  68.6%     -    1s
H    0     0                    22478.000000 7111.76014  68.4%     -    1s
H    0     0                    22442.000000 7111.76014  68.3%     -    1s
H    0     0                    22279.000000 7111.76014  68.1%     -    1s
H    0     0                    22199.000000 7111.76014  68.0%     -    1s
     0     0 7111.76014    0  300 22199.0000 7111.76014  68.0%     -    1s
     0     0 7114.08028    0  321 22199.0000 7114.08028  68.0%     -    1s
     0     0 7114.67588    0  344 22199.0000 7114.67588  68.0%     -    1s
     0     0 7118.14991    0  332 22199.0000 7118.14991  67.9%     -    1s
     0     0 7118.41414    0  347 22199.0000 7118.41414  67.9%     -    1s
     0     0 7118.63653    0  353 22199.0000 7118.63653  67.9%     -    1s
H    0     0                    22153.000000 7119.12897  67.9%     -    1s
     0     0 7119.12897    0  371 22153.0000 7119.12897  67.9%     -    1s
     0     0 7119.19576    0  396 22153.0000 7119.19576  67.9%     -    1s
H    0     0                    22091.000000 7119.75675  67.8%     -    2s
H    0     0                    21951.000000 7119.75675  67.6%     -    2s
     0     0 7119.75675    0  369 21951.0000 7119.75675  67.6%     -    2s
     0     0 7119.75675    0  379 21951.0000 7119.75675  67.6%     -    2s
H    0     0                    21719.000000 7130.07383  67.2%     -    2s
     0     0 7130.07383    0  389 21719.0000 7130.07383  67.2%     -    2s
H    0     0                    21683.000000 7130.07383  67.1%     -    2s
H    0     0                    21587.000000 7130.07383  67.0%     -    2s
H    0     0                    21347.000000 7130.07383  66.6%     -    2s
     0     0 7136.58761    0  320 21347.0000 7136.58761  66.6%     -    2s
