
Gurobi 12.0.0 (win64) logging started Sun Jan 25 21:22:02 2026

Set parameter LogFile to value "Storage_orig/Logs/log_____________2026_01_25_21_22_02.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11.0 (26100.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 16100 rows, 2280 columns and 42808 nonzeros
Model fingerprint: 0x0217749b
Variable types: 40 continuous, 2240 integer (1360 binary)
Coefficient statistics:
  Matrix range     [2e-01, 2e+02]
  Objective range  [1e+01, 4e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 30880.000000
Presolve removed 12968 rows and 356 columns
Presolve time: 0.09s
Presolved: 3132 rows, 1924 columns, 21172 nonzeros
Variable types: 40 continuous, 1884 integer (1160 binary)

Root relaxation: objective 6.492443e+03, 2400 iterations, 0.16 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 6492.44333    0   33 30880.0000 6492.44333  79.0%     -    0s
H    0     0                    30822.000000 6492.44333  78.9%     -    0s
H    0     0                    30708.000000 6492.44333  78.9%     -    0s
H    0     0                    30568.000000 6492.44333  78.8%     -    0s
H    0     0                    30508.000000 6492.44333  78.7%     -    0s
H    0     0                    30028.000000 6492.44333  78.4%     -    0s
H    0     0                    28648.000000 6492.44333  77.3%     -    0s
H    0     0                    28508.000000 6673.99436  76.6%     -    0s
     0     0 6673.99436    0  100 28508.0000 6673.99436  76.6%     -    0s
H    0     0                    24009.000000 6673.99436  72.2%     -    0s
     0     0 6758.90147    0  105 24009.0000 6758.90147  71.8%     -    0s
     0     0 6787.16343    0  115 24009.0000 6787.16343  71.7%     -    0s
     0     0 6787.16343    0  123 24009.0000 6787.16343  71.7%     -    0s
     0     0 7007.11291    0  114 24009.0000 7007.11291  70.8%     -    0s
     0     0 7015.02857    0  129 24009.0000 7015.02857  70.8%     -    0s
H    0     0                    23869.000000 7017.58124  70.6%     -    0s
     0     0 7017.58124    0  125 23869.0000 7017.58124  70.6%     -    0s
     0     0 7019.22702    0  146 23869.0000 7019.22702  70.6%     -    0s
     0     0 7020.74375    0  165 23869.0000 7020.74375  70.6%     -    0s
     0     0 7020.74375    0  171 23869.0000 7020.74375  70.6%     -    0s
H    0     0                    23689.000000 7020.74375  70.4%     -    0s
H    0     0                    23571.000000 7020.74375  70.2%     -    0s
H    0     0                    23511.000000 7020.74375  70.1%     -    0s
H    0     0                    22058.000000 7042.18145  68.1%     -    1s
H    0     0                    21778.000000 7042.18145  67.7%     -    1s
     0     0 7042.18145    0  204 21778.0000 7042.18145  67.7%     -    1s
H    0     0                    20379.000000 7042.18145  65.4%     -    1s
     0     0 7054.02170    0  251 20379.0000 7054.02170  65.4%     -    1s
     0     0 7061.00972    0  245 20379.0000 7061.00972  65.4%     -    1s
H    0     0                    18453.000000 7061.62826  61.7%     -    1s
H    0     0                    18393.000000 7061.62826  61.6%     -    1s
H    0     0                    18253.000000 7061.62826  61.3%     -    1s
     0     0 7061.62826    0  298 18253.0000 7061.62826  61.3%     -    1s
     0     0 7061.84786    0  287 18253.0000 7061.84786  61.3%     -    1s
     0     0 7064.65289    0  266 18253.0000 7064.65289  61.3%     -    1s
     0     0 7068.99953    0  266 18253.0000 7068.99953  61.3%     -    1s
     0     0 7070.16169    0  272 18253.0000 7070.16169  61.3%     -    1s
     0     0 7070.55547    0  316 18253.0000 7070.55547  61.3%     -    1s
     0     0 7070.64670    0  316 18253.0000 7070.64670  61.3%     -    1s
     0     0 7070.65644    0  319 18253.0000 7070.65644  61.3%     -    1s
H    0     0                    17173.000000 7070.65644  58.8%     -    1s
H    0     0                    16895.000000 7070.65644  58.1%     -    1s
H    0     0                    16813.000000 7070.65644  57.9%     -    1s
H    0     0                    16293.000000 7070.65644  56.6%     -    1s
H    0     0                    15313.000000 7070.65644  53.8%     -    1s
H    0     0                    13773.000000 7070.65644  48.7%     -    1s
H    0     0                    12377.000000 7104.63044  42.6%     -    2s
H    0     0                    11677.000000 7104.63044  39.2%     -    2s
     0     0 7104.63044    0  335 11677.0000 7104.63044  39.2%     -    2s
H    0     0                    10995.000000 7104.63044  35.4%     -    2s
H    0     0                    10937.000000 7104.63044  35.0%     -    2s
H    0     0                    10797.000000 7104.63044  34.2%     -    2s
H    0     0                    10715.000000 7104.63044  33.7%     -    2s
H    0     0                    10575.000000 7104.63044  32.8%     -    2s
     0     0 7113.05732    0  376 10575.0000 7113.05732  32.7%     -    2s
     0     0 7115.27275    0  376 10575.0000 7115.27275  32.7%     -    2s
     0     0 7118.12315    0  382 10575.0000 7118.12315  32.7%     -    2s
     0     0 7121.81036    0  159 10575.0000 7121.81036  32.7%     -    2s
     0     0 7122.73306    0  369 10575.0000 7122.73306  32.6%     -    2s
